event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_fetch_excluded,flag_remove_high_positive,flag_impossible,auto_remove_nee
MD_high_night_20240626_0300,high_night,MD,2024-06-26T07:00:00Z,51.6417,51.6417,51.6417,0,0.165322,NA,303.505,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240629_0300,high_night,MD,2024-06-29T07:00:00Z,60.31721,60.31721,60.31721,0,0.337997,NA,179.683,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240629_0330,high_night,MD,2024-06-29T07:30:00Z,55.77867,55.77867,55.77867,0,0.368985,NA,179.572,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240629_0430,high_night,MD,2024-06-29T08:30:00Z,55.09121,55.09121,55.09121,0,0.430674,NA,193.629,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240710_2330,high_night,MD,2024-07-11T03:30:00Z,55.366935999999995,55.366935999999995,55.366935999999995,0,0.0099003,NA,235.636,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240711_0830,high_day,MD,2024-07-11T12:30:00Z,80.5415,80.5415,80.5415,240.02,0.191818,0.0614662,41.003,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240716_0130,high_night,MD,2024-07-16T05:30:00Z,77.67796,77.67796,77.67796,0,0.559982,0.0133221,220.841,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240717_0830,high_day,MD,2024-07-17T12:30:00Z,84.9618,84.9618,84.9618,231.026,0.237584,0.0700413,294.847,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240721_0400,high_night,MD,2024-07-21T08:00:00Z,62.8009,62.8009,62.8009,0,0.0703688,0.00500782,189.633,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240801_0200,high_night,MD,2024-08-01T06:00:00Z,109.64529999999999,109.64529999999999,109.64529999999999,0,0.132128,NA,218.139,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240802_0230,high_night,MD,2024-08-02T06:30:00Z,71.287584,71.287584,71.287584,0,0.235591,0.0293024,126.749,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240804_0900,high_day,MD,2024-08-04T13:00:00Z,101.38775,101.38775,101.38775,219.418,0.0358006,0.212606,196.068,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240805_0300,high_night,MD,2024-08-05T07:00:00Z,53.47426,53.47426,53.47426,0,0.134215,0.13384000000000001,81.922,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240812_0600,high_night,MD,2024-08-12T10:00:00Z,74.8977,74.8977,74.8977,1.75046e-5,0.10234,NA,119.49,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240812_0630,high_night,MD,2024-08-12T10:30:00Z,68.63749999999999,68.63749999999999,68.63749999999999,0.0778629,0.049694,NA,123.324,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240821_0700,high_night,MD,2024-08-21T11:00:00Z,53.2852,53.2852,53.2852,1.57751,0.0529794,NA,36.7881,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240827_0530,high_night,MD,2024-08-27T09:30:00Z,50.258300000000006,50.258300000000006,50.258300000000006,0,0.39554,0,323.997,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_day_20240827_1530,high_day,MD,2024-08-27T19:30:00Z,60.1859,60.1859,60.1859,435.33333333333337,1.17565,0.387014,322.313,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240827_2300,high_night,MD,2024-08-28T03:00:00Z,58.97127,58.97127,58.97127,0,0.129533,0.209427,322.872,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MD_high_night_20240831_0630,high_night,MD,2024-08-31T10:30:00Z,61.076800000000006,61.076800000000006,61.076800000000006,0.08333333333333333,0.0692481,0.630409,259.473,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
