Date,Year,DaysSinceGSStart,LD_cum_NEE_gC,MD_cum_NEE_gC,LD_cum_GPP_gC,MD_cum_GPP_gC,LD_cum_Reco_gC,MD_cum_Reco_gC,MD_minus_LD_cum_NEE_gC,MD_minus_LD_cum_GPP_gC,MD_minus_LD_cum_Reco_gC
2025-07-10,2025,86,-275.637988714244,-297.6444800109419,823.3983809223689,910.9884693435318,547.760392208125,613.3439893325901,-22.006491296697902,87.59008842116293,65.58359712446509
2025-07-11,2025,87,-277.16332200541234,-300.99491651836433,829.5216749939929,918.9810555206869,552.3583529885807,617.9861390023227,-23.831594512951995,89.45938052669408,65.62778601374202
2025-07-12,2025,88,-282.76142356120704,-307.86400840204,839.8808408366682,930.6641263246895,557.1194172754614,622.8001179226496,-25.102584840832947,90.7832854880213,65.68070064718825
2025-07-13,2025,89,-288.92986561841155,-315.7665108694585,850.6048047076579,943.251011001026,561.6749390892465,627.4845001315676,-26.836645251046946,92.6462062933681,65.80956104232109
2025-07-14,2025,90,-293.2634789006052,-322.1987534689353,859.2558761117655,954.2036588494802,565.9923972111606,632.0049053805451,-28.9352745683301,94.94778273771476,66.01250816938455
2025-07-15,2025,91,-296.19440665907376,-327.8473120609386,866.3929772627297,964.3517765787573,570.1985706036562,636.5044645178189,-31.652905401864814,97.95879931602758,66.30589391416265
2025-07-16,2025,92,-301.2202190419982,-334.433840159561,875.7203257237688,975.6578322323812,574.500106681771,641.2239920728205,-33.21362111756281,99.93750650861239,66.72388539104952
2025-07-17,2025,93,-303.46389429703163,-340.1009719042273,881.9700885451084,985.3926476523454,578.506194248077,645.2916757481183,-36.63707760719569,103.42255910723702,66.78548150004133
2025-07-18,2025,94,-305.95353502691705,-346.16623556123056,888.848937844315,995.2303005325449,582.8954028173981,649.0640649713146,-40.21270053431351,106.38136268822996,66.16866215391644
2025-07-19,2025,95,-307.08289784598753,-346.78769960708587,895.3062719768249,999.8654500203515,588.2233741308377,653.0777504132658,-39.70480176109834,104.55917804352669,64.85437628242812
2025-07-20,2025,96,-310.4845555099265,-349.85786041877066,904.851634393516,1007.0269897681773,594.3670788835898,657.1691293494067,-39.37330490884415,102.17535537466131,62.80205046581693
2025-07-21,2025,97,-313.76005353840077,-354.9490921568694,914.6153825707465,1016.269488702486,600.8553290323462,661.3203965456166,-41.18903861846866,101.65410613173947,60.46506751327047
2025-07-22,2025,98,-317.6248123109493,-360.59944286654945,924.9859157849953,1027.0008810137092,607.3611034740463,666.4014381471598,-42.97463055560013,102.01496522871389,59.04033467311342
2025-07-23,2025,99,-320.9949054341746,-365.24733525285245,934.4926426120603,1037.831829885137,613.497737177886,672.5844946322846,-44.252429818677854,103.33918727307673,59.086757454398594
2025-07-24,2025,100,-324.9442464593799,-370.06371956949243,944.7410744993327,1049.8138071811297,619.7968280399532,679.7500876116375,-45.11947311011255,105.07273268179699,59.95325957168427
2025-07-25,2025,101,-327.84028903921245,-375.1248924440244,953.3906215280533,1061.9765148811175,625.5503324888413,686.8516224370933,-47.284603404811946,108.5858933530642,61.30128994825202
2025-07-26,2025,102,-331.05232799136934,-376.5836534761297,962.0750680077509,1070.772457836255,631.022740016382,694.1888043601255,-45.53132548476037,108.69738982850401,63.166064343743415
2025-07-27,2025,103,-334.427942362699,-380.36648944642303,970.8682818690262,1082.4834047478264,636.4403395063277,702.1169153014037,-45.93854708372402,111.61512287880021,65.6765757950759
2025-07-28,2025,104,-339.3415940826989,-383.7477632517242,981.0620231281817,1094.2673511679761,641.7204290454835,710.5195879162522,-44.406169169025304,113.20532803979438,68.79915887076879
2025-07-29,2025,105,-343.9967476557018,-388.9465504683887,990.5536553840776,1107.79924359928,646.5569077283764,718.8526931308918,-44.94980281268687,117.24558821520247,72.29578540251543
2025-07-30,2025,106,-346.873666688243,-390.6770570176191,997.8578153854107,1118.0525174248155,650.9841486971683,727.3754604071969,-43.8033903293761,120.19470203940477,76.39131171002862
2025-07-31,2025,107,-349.8205607613454,-394.5729685686757,1004.7864953359791,1130.3418417899352,654.9659345746343,735.76887322126,-44.752407807330314,125.55534645395608,80.80293864662576
2025-08-01,2025,108,-353.06473494545577,-399.009464182874,1011.8813955253929,1142.8718464593562,658.8166605799378,743.8623822764829,-45.944729237418244,130.9904509339633,85.04572169654512
2025-08-02,2025,109,-356.69037402465676,-404.4236786668392,1019.1772726989641,1155.8841757314672,662.486898674308,751.4604970646287,-47.73330464218242,136.70690303250308,88.97359839032072
2025-08-03,2025,110,-361.06978248632583,-411.1730180387633,1027.3789013039932,1170.4742068137875,666.309118817668,759.301188775025,-50.10323555243747,143.09530550979434,92.99206995735699
2025-08-04,2025,111,-366.0878781376974,-418.8849176904915,1036.0945688206812,1185.6404473373686,670.0066906829844,766.7555296468779,-52.797039552794104,149.54587851668748,96.74883896389349
2025-08-05,2025,112,-370.22655824137996,-425.60633198098594,1043.7299494771496,1199.2765671639158,673.5033912357702,773.6702351829306,-55.37977373960598,155.54661768676624,100.16684394716037
2025-08-06,2025,113,-372.9605488768468,-431.95278269902786,1049.842367426547,1212.1366357013337,676.8818185497008,780.1838530023066,-58.99223382218105,162.29426827478665,103.30203445260577
2025-08-07,2025,114,-376.0415606209282,-436.49417190581823,1056.0940770038549,1222.6149532118986,680.0525163829273,786.1207813060812,-60.452611284890054,166.52087620804377,106.06826492315395
2025-08-08,2025,115,-379.4308644842699,-440.0352481861809,1062.4546740877092,1231.528827772669,683.0238096034399,791.4935795864889,-60.60438370191105,169.0741536849598,108.46976998304899
2025-08-09,2025,116,-384.1066196863274,-444.7227659546705,1069.9539998465104,1241.124678188106,685.8473801601835,796.4019122334362,-60.61614626834307,171.17067834159548,110.55453207325263
2025-08-10,2025,117,-388.5072528887369,-449.6435349999388,1076.9360141138318,1250.292848346706,688.4287612250954,800.6493133467678,-61.13628211120192,173.35683423287423,112.22055212167243
2025-08-11,2025,118,-394.3154819566386,-455.70695402155934,1086.4528647872223,1261.0433405020553,692.1373828305843,805.3363864804968,-61.39147206492072,174.59047571483302,113.19900364991247
2025-08-12,2025,119,-390.5199581582047,-451.9570076573934,1087.7893449046185,1262.6503705952675,697.2693867464144,810.693362937875,-61.437049499188674,174.86102569064906,113.42397619146061
2025-08-13,2025,120,-390.4832230685277,-451.8033995404393,1094.0695054406694,1268.8630666783977,703.5862823721425,817.0596671379592,-61.320176471911566,174.79356123772823,113.47338476581672
2025-08-14,2025,121,-392.392136591273,-455.38384898537623,1103.0653837959785,1279.358847860392,710.6732472047062,823.9749988750164,-62.99171239410322,176.29346406441346,113.30175167031018
2025-08-15,2025,122,-395.09177082582244,-459.3523652827615,1114.1719914539428,1291.3709819356286,719.0802206281211,832.0186166528676,-64.26059445693909,177.19899048168577,112.93839602474657
2025-08-16,2025,123,-396.21085757569585,-460.21409795086595,1124.9275498424788,1301.2999677075015,728.7166922667836,841.0858697566363,-64.0032403751701,176.37241786502273,112.36917748985263
2025-08-17,2025,124,-397.2453203936414,-462.7514618020591,1136.3259388208837,1313.416584328654,739.0806184272429,850.6651225265954,-65.5061414084177,177.0906455077702,111.58450409935244
2025-08-18,2025,125,-397.1023904534832,-466.0951994297143,1146.4961672739362,1326.2123420585085,749.3937768204536,860.1171426287948,-68.99280897623106,179.71617478457233,110.72336580834121
2025-08-19,2025,126,-393.4361171444215,-461.82251721201374,1153.1609944102213,1331.7675123187216,759.7248772658004,869.9449951067086,-68.38640006759226,178.60651790850034,110.22011784090819
2025-08-20,2025,127,-393.87403011773284,-463.7593144206486,1163.489987874043,1343.4049603814078,769.6159577563106,879.64564596076,-69.88528430291575,179.91497250736484,110.02968820444937
2025-08-21,2025,128,-395.62302048081546,-465.95408913899047,1174.6413246402722,1354.9110445145045,779.0183041594573,888.9569553755149,-70.33106865817501,180.26971987423235,109.93865121605756
